Player,Team,Pos,# of Top 5 Szns,# of Top 12 Szns,# of Top 24 Szns,Draft,Age,Draft Year,Cr.Year,SZN Year,POS RK,PPG POS RK,TEAM POS RK,GMs,Opps,TGT%,EPG,FPOE/G,aDot,Yd/TMAtt / G,PPG (PPR),TD Rate (YD/TD),Dominator (rec),Opportunity Share (% of team - non qb - RuAtt and Tgts),PPR,.5ppr,STD,SIXPT,FFPC,DK,FD,Snaps,Snap%,Tgt,Tgt Shr,Att,% Tm Att,Opps,% Tm Opps,Yards,Att,Comp,Comp%,TD,Int,Yd/Att,Rating,Total,Completed,Conv%,AY/Att,EP,FPOE,PaEP,PaFPOE,ruEP,ruFPOE,reEP,reFPOE,Att,Yards,TD,RUSH TD% (TD/ATT),YPC,% Tm Att,FumL,Tgt,Rec,Yards,TD,TD% (REC/TD,YPR,Yd/Tgt,TGT%,AirYards,AY/Tgt,YAC,RACR,Airyards %,WOPR,AirYAC (AY+YAC),
Emmanuel Sanders,PIT,WR,1.00,1.00,4.00,82,25,2010,3,2012,66,81,3,16,75,13.00%,7.37,-0.31,11.90,0.64,7.06,630.00,17.5%,10.4%,113,91,69,113,113,112,89,722,0.68,74,0.13,1,0,75,0.08,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,117.9,-4.9,0,0,0.7,-0.3,117.2,-4.8,1,4,0,0.00%,4,0,1,74,44,626,1,1.35%,14.2,8.5,0.13,881,11.9,185,0.71,0.18,0.32,1066,Emmanuel Sanders3
Eric Decker,DEN,WR,0.00,2.00,3.00,87,25,2010,3,2012,9,10,2,16,122,21.00%,13.25,3.59,11.10,1.00,16.84,81.85,40.8%,15.3%,269.4,226.9,184.4,269.4,269.4,275.4,226.9,1047,0.92,122,0.21,0,0,122,0.11,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,212,57.4,0,0,0,0,212,57.4,0,0,0,0.00%,NA,0,0,122,85,1064,13,10.66%,12.5,8.7,0.21,1357,11.1,267,0.78,0.29,0.51,1624,Eric Decker3
Golden Tate,SEA,WR,0.00,2.00,4.00,60,24,2010,3,2012,40,50,1,15,71,18.00%,7.76,3.11,13.80,0.83,10.86,91.38,35.3%,10.7%,162.95,140.45,117.95,164.95,162.95,165.72,140.22,717,0.76,67,0.18,3,0.01,70,0.08,23,1,1,1,1,0,23,158.3,23,23,1,23,116.4,46.6,1.9,3.2,1.9,0.1,112.6,42.6,3,20,0,0.00%,6.7,0.01,0,67,45,688,7,10.45%,15.3,10.3,0.18,923,13.8,265,0.75,0.25,0.45,1188,Golden Tate3
Josh Gordon,CLE,WR,1.00,1.00,1.00,329,21,2012,1,2012,41,54,2,16,95,17.00%,9.49,0.54,12.50,0.84,10.03,161.00,37.6%,14.2%,160.5,135.5,110.5,160.5,160.5,162.5,133.5,815,0.79,95,0.17,0,0,95,0.1,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,151.8,8.7,0,0,0,0,151.8,7.9,0,0,0,0.00%,NA,0,1,95,50,805,5,5.26%,16.1,8.5,0.17,1189,12.5,331,0.68,0.29,0.46,1520,Josh Gordon1
Julio Jones,ATL,WR,3.00,7.00,8.00,6,23,2011,2,2012,11,12,2,16,135,21.00%,13.79,2.57,11.70,1.24,16.36,122.80,41.5%,19.9%,261.8,222.3,182.8,261.8,261.8,273.8,222.3,836,0.79,129,0.21,6,0.02,135,0.14,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,220.7,41.1,0,0,4.3,-1.3,216.4,42.4,6,30,0,0.00%,5,0.02,0,129,79,1198,10,7.75%,15.2,9.3,0.21,1509,11.7,511,0.79,0.31,0.53,2020,Julio Jones2
Kendall Wright,TEN,WR,0.00,0.00,1.00,20,23,2012,1,2012,45,53,1,15,104,20.00%,11.31,-1.24,6.60,0.73,10.07,157.50,29.3%,15.3%,151,119,87,151,151,150,117,556,0.59,103,0.2,1,0,104,0.12,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,169.6,-18.6,0,0,0.7,-0.3,169,-20.8,1,4,0,0.00%,4,0,1,103,64,626,4,3.88%,9.8,6.1,0.2,676,6.6,314,0.93,0.15,0.41,990,Kendall Wright1
Marvin Jones,CIN,WR,0.00,1.00,2.00,166,22,2012,1,2012,114,102,4,10,35,10.00%,6.00,-1.12,12.40,0.41,4.88,248.00,7.4%,4.9%,48.8,39.8,30.8,48.8,48.8,48.8,39.8,355,0.53,32,0.1,3,0.01,35,0.06,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,60,-11.2,0,0,7.5,-2.8,52.5,-8.4,3,47,0,0.00%,15.7,0.01,0,32,18,201,1,3.13%,11.2,6.3,0.1,397,12.4,34,0.51,0.13,0.24,431,Marvin Jones1
Mike Williams,TB,WR,0.00,0.00,2.00,101,25,2010,3,2012,19,26,2,16,127,23.00%,13.58,0.05,12.90,1.04,13.63,113.78,40.7%,17.6%,218,186.5,155,218,218,226.72,186.22,898,0.86,126,0.23,0,0,126,0.13,28,1,1,1,0,0,28,118.8,28,28,1,28,217.2,0.8,1.4,0,0,0,215.8,0.8,0,0,0,0.00%,NA,0,0,126,63,996,9,7.14%,15.8,7.9,0.23,1625,12.9,332,0.61,0.29,0.54,1957,Mike Williams3
Randall Cobb,GB,WR,0.00,1.00,2.00,64,22,2011,2,2012,16,14,1,15,114,21.00%,11.81,4.36,7.80,1.17,16.17,135.75,32.0%,15.6%,242.6,202.6,162.6,242.6,242.6,250.6,200.6,635,0.61,104,0.21,10,0.02,114,0.12,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,177.2,65.4,0,0,7.8,5.4,169.4,54,10,132,0,0.00%,13.2,0.02,1,104,80,954,8,7.69%,11.9,9.2,0.21,816,7.8,456,1.17,0.2,0.45,1272,Randall Cobb2
Rishard Matthews,MIA,WR,0.00,0.00,1.00,227,23,2012,1,2012,139,119,4,7,20,10.00%,4.31,-0.59,12.10,0.37,3.73,0.00,4.2%,2.8%,26.1,20.6,15.1,26.1,26.1,26.1,20.6,231,0.53,20,0.1,0,0,20,0.05,0,0,0,NaN%,0,0,NA,NA,0,0,NaN%,NA,30.2,-4.1,0,0,0,0,30.2,-4.1,0,0,0,0.00%,NA,0,0,20,11,151,0,0.00%,13.7,7.5,0.1,241,12.1,30,0.63,0.12,0.23,271,Rishard Matthews1
